COMPANY,PNP ID,Approved on Date
2-TEL B.V,TTL,03/20/1999
21ST CENTURY ENTERTAINMENT,BUT,04/25/2002
3COM CORPORATION,TCM,11/29/1996
3D PERCEPTION,TDP,05/16/2002
3M,VSD,10/16/1998
3NOD DIGITAL TECHNOLOGY CO. LTD.,NOD,12/11/2014
A D S EXPORTS,NGS,07/16/1998
A PLUS INFO CORPORATION,API,11/29/1996
A&R CAMBRIDGE LTD.,ACG,06/13/2007
A+V LINK,APV,01/27/2010
A/VAUX ELECTRONICS,AVX,08/29/2012
AAEON TECHNOLOGY INC.,AAN,09/01/2016
AASHIMA TECHNOLOGY B.V.,TRU,05/08/1998
AAVA MOBILE OY,AAM,08/13/2013
"ABACO SYSTEMS, INC.",GEH,09/03/2010
"ABACO SYSTEMS, INC.",ABS,04/27/2016
ABBAHOME INC.,ABA,11/08/1999
ABEAM TECH LTD.,MEG,11/29/1996
ABLY-TECH CORPORATION,ATC,11/29/1996
ABOCOM SYSTEM INC.,ABC,03/28/1997
ACC MICROELECTRONICS,WTC,11/29/1996
ACCESS WORKS COMM INC,AWC,11/29/1996
ACCO UK LTD.,PKA,05/12/2003
ACCTON TECHNOLOGY CORPORATION,ACC,11/29/1996
ACCULOGIC,ACU,11/29/1996
ACCUSCENE CORPORATION LTD,ASL,06/13/2007
ACE CAD ENTERPRISE COMPANY LTD,ANT,11/29/1996
ACER INC,CHE,11/29/1996
ACER LABS,ALI,11/29/1996
ACER NETXUS INC,ANX,11/29/1996
ACER TECHNOLOGIES,ACR,11/29/1996
ACKSYS,ACK,11/29/1996
ACNHOR DATACOMM,ADC,11/29/1996
ACON,CAL,11/29/1996
ACROLINK INC,ALK,03/12/1997
ACROLOOP MOTION CONTROL SYSTEMS INC,ACM,03/26/1998
ACT LABS LTD,LAB,09/02/1997
ACTEK ENGINEERING PTY LTD,ACE,11/29/1996
ACTIONTEC ELECTRIC INC,AEI,11/29/1996
ACTIVCARD S.A,ACV,05/08/1998
ACULAB LTD,ACB,11/29/1996
ACUTEC LTD.,ALM,11/08/1999
AD ELECTRONICS,GLE,04/19/2000
AD LIB MULTIMEDIA INC,ADM,04/23/1998
ADAPTEC INC,ADP,11/29/1996
ADAX INC,ADX,11/29/1996
ADC-CENTRE,RSH,11/08/1999
ADD VALUE ENTERPISES (ASIA) PTE LTD,AVE,01/10/1999
ADDER TECHNOLOGY LTD,ADZ,03/30/2016
ADDI-DATA GMBH,ADA,11/29/1996
ADI SYSTEMS INC,ADI,11/29/1996
ADPM SYNTHESIS SAS,DPM,08/10/2000
ADRIENNE ELECTRONICS CORPORATION,AXB,10/07/1997
ADTEK,ADT,11/29/1996
ADTEK SYSTEM SCIENCE COMPANY LTD,ADK,11/29/1996
"ADTI MEDIA, INC",FLE,09/15/2009
ADTRAN INC,AND,11/29/1996
ADVAN INT'L CORPORATION,AGM,05/26/1998
ADVANCE COMPUTER CORPORATION,AVN,06/10/2010
ADVANCED DIGITAL SYSTEMS,MSM,11/29/1996
"ADVANCED ELECTRONIC DESIGNS, INC.",AED,07/12/2004
ADVANCED ENGINEERING,RJS,06/25/1998
ADVANCED GRAVIS,GRV,11/29/1996
ADVANCED INTEG. RESEARCH INC,AIR,11/29/1996
ADVANCED LOGIC,ALR,11/29/1996
ADVANCED MICRO DEVICES INC,ADV,11/29/1996
ADVANCED MICRO PERIPHERALS LTD,EVE,11/18/2011
"ADVANCED OPTICS ELECTRONICS, INC.",AOE,04/20/2004
ADVANCED PERIPHERAL DEVICES INC,ADD,11/29/1996
ADVANCED RESEARCH TECHNOLOGY,ABV,01/16/1997
ADVANCED SIGNAL PROCESSING TECHNOLOGIES,PSA,09/13/1999
"ADVANTECH CO., LTD.",AHC,06/13/2007
AERODATA HOLDINGS LTD,ADH,11/11/1997
AETAS PERIPHERAL INTERNATIONAL,AEP,11/08/1999
AETHRA TELECOMUNICAZIONI S.R.L.,AET,12/13/1996
AGENTUR CHAIROS,CHS,03/15/2001
AGILENT TECHNOLOGIES,AGT,10/08/2001
AHEAD SYSTEMS,ASI,11/29/1996
AIMS LAB INC,AIM,03/13/1998
"AIRLIB, INC",AYR,02/21/2000
"AIRONET WIRELESS COMMUNICATIONS, INC",AWL,08/11/1998
AIWA COMPANY LTD,AIW,11/29/1996
"AJA VIDEO SYSTEMS, INC.",AJA,10/11/2007
"AKAMI ELECTRIC CO.,LTD",AKE,09/03/2010
AKEBIA LTD,AKB,11/29/1996
AKIA CORPORATION,AKI,12/23/1998
AL SYSTEMS,ALH,01/20/1999
ALACRON INC,ALA,11/29/1996
ALANA TECHNOLOGIES,ALN,01/13/2000
ALCATEL,AOT,11/06/2001
ALCATEL BELL,ABE,11/29/1996
ALDEBBARON,ADB,03/15/2001
ALENCO BV,ALE,05/20/2014
"ALEXON CO.,LTD.",ALX,09/13/1999
ALFA INC,AFA,11/29/1996
ALGOLITH INC.,ALO,05/02/2005
"ALGOLTEK, INC.",AGO,10/23/2013
ALIEN INTERNET SERVICES,AIS,06/21/2001
ALLEN BRADLEY COMPANY,ABD,11/29/1996
ALLIANCE SEMICONDUCTOR CORPORATION,ALL,11/29/1996
ALLIED TELESIS KK,ATI,11/29/1996
ALLIED TELESYN INT'L,ATK,11/29/1996
ALLIED TELESYN INTERNATIONAL (ASIA) PTE LTD,ATA,11/10/1997
ALLION COMPUTER INC.,ACO,10/23/2000
ALPHA DATA,XAD,10/08/2009
ALPHA ELECTRONICS COMPANY,AEJ,11/29/1996
ALPHA TELECOM INC,ATD,09/26/1997
ALPHA-TOP CORPORATION,ATP,12/04/1996
ALPHAVIEW LCD,ALV,11/01/2008
"ALPINE ELECTRONICS, INC.",APE,01/22/2013
ALPS ELECTRIC COMPANY LTD,ALP,11/29/1996
ALPS ELECTRIC INC,AUI,11/29/1996
ALTA RESEARCH CORPORATION,ARC,11/29/1996
ALTEC CORPORATION,ALC,08/04/1998
ALTEC LANSING,ALJ,01/13/2000
"ALTINEX, INC.",AIX,04/24/2001
ALTMANN INDUSTRIEELEKTRONIK,AIE,11/29/1996
ALTOS COMPUTER SYSTEMS,ACS,11/29/1996
ALTOS INDIA LTD,AIL,11/29/1996
ALTRA,ALT,11/29/1996
ALVEDON COMPUTERS LTD,CNC,11/06/1998
"AMBIENT TECHNOLOGIES, INC.",AMB,05/16/1999
AMDEK CORPORATION,AMD,11/29/1996
AMERICA ONLINE,AOL,11/29/1996
AMERICAN BIOMETRIC COMPANY,YOW,05/16/1999
AMERICAN EXPRESS,AXP,07/16/1999
AMERICAN MAGNETICS,AXI,03/15/2001
AMERICAN MEGATRENDS INC,AMI,11/29/1996
AMERICAN NUCLEAR SYSTEMS INC,MCA,02/12/1997
AMERICAN POWER CONVERSION,CNB,03/15/2001
AMERICAN POWER CONVERSION,APC,11/29/1996
AMIMON LTD.,AMN,06/13/2007
AMINO TECHNOLOGIES PLC AND AMINO COMMUNICATIONS LIMITED,AMO,12/09/2011
AMIT LTD,AKL,12/02/1997
AMP INC,AMP,11/29/1996
AMPTRON INTERNATIONAL INC.,AII,05/24/2000
AMT INTERNATIONAL INDUSTRY,AMT,11/29/1996
"AMTRAN TECHNOLOGY CO., LTD.",AMR,06/10/2013
AMX LLC,AMX,07/06/2008
AN-NAJAH UNIVERSITY,BBB,03/15/2001
ANAKRON,ANA,11/08/1999
ANALOG & DIGITAL DEVICES TEL. INC,ADN,03/14/1997
ANALOG DEVICES INC,ADS,11/29/1996
ANALOG WAY SAS,ANW,01/22/2014
"ANALOGIX SEMICONDUCTOR, INC",ANL,10/10/2005
ANATEK ELECTRONICS INC.,AAE,05/25/2004
"ANCHOR BAY TECHNOLOGIES, INC.",ABT,02/14/2006
ANCOR COMMUNICATIONS INC,ACI,11/29/1996
ANCOT,ANC,11/29/1996
ANDERSON MULTIMEDIA COMMUNICATIONS (HK) LIMITED,AML,01/03/2003
ANDREW NETWORK PRODUCTION,ANP,11/29/1996
ANIGMA INC,ANI,11/29/1996
ANKO ELECTRONIC COMPANY LTD,ANK,03/24/1998
ANN ARBOR TECHNOLOGIES,AAT,04/24/2001
ANORAD CORPORATION,ANO,01/13/2000
ANR LTD,ANR,11/29/1996
ANSEL COMMUNICATION COMPANY,ANS,11/29/1996
ANTEX ELECTRONICS CORPORATION,AEC,11/29/1996
AOPEN INC.,AOA,11/06/2001
AP DESIGNS LTD,APX,12/08/1997
APACHE MICRO PERIPHERALS INC,DNG,11/11/1997
APLICOM OY,APL,05/02/2005
APPIAN TECH INC,APN,11/29/1996
APPLE COMPUTER INC,APP,11/29/1996
APPLIADATA,APD,11/29/1996
APPLIED CREATIVE TECHNOLOGY,ACT,11/29/1996
APPLIED MEMORY TECH,APM,11/29/1996
APRICOT COMPUTERS,ACL,11/29/1996
APRILIA S.P.A.,APR,02/22/1999
ARCHITEK CORPORATION,ATJ,01/22/2014
ARCHTEK TELECOM CORPORATION,ACH,01/15/1997
ARCUS TECHNOLOGY LTD,ATL,11/29/1996
AREC INC.,ARD,07/08/2013
ARESCOM INC,ARS,11/29/1996
ARGOLIS,AGL,03/15/2001
ARGOSY RESEARCH INC,ARI,02/24/1997
"ARGUS ELECTRONICS CO., LTD",ARG,06/04/2004
ARIEL CORPORATION,ACA,12/13/1996
ARIMA,ARM,04/07/2004
"ARITHMOS, INC.",ADE,07/16/1999
ARK LOGIC INC,ARK,11/29/1996
ARLOTTO COMNET INC,ARL,04/29/1997
"ARMSTEL, INC.",AMS ,02/25/2011
ARNOS INSTURMENTS & COMPUTER SYSTEMS,AIC,11/29/1996
"ARRIS GROUP, INC.",ARR,01/27/2015
ART S.R.L.,IMB,01/27/2012
ARTISH GRAPHICS INC,AGI,11/29/1996
ARVANICS,NPA,03/05/2015
ASAHI KASEI MICROSYSTEMS COMPANY LTD,AKM,11/29/1996
ASANTE TECH INC,ASN,11/29/1996
ASCOM BUSINESS SYSTEMS,HER,01/20/1999
ASCOM STRATEGIC TECHNOLOGY UNIT,ASC,11/29/1996
ASEM S.P.A.,ASM,03/15/2001
ASEM S.P.A.,AEM,11/29/1996
ASEV DISPLAY LABS,ASE,10/16/1998
ASHTON BENTLEY CONCEPTS,ASH,09/20/2013
ASIA MICROELECTRONIC DEVELOPMENT INC,AMA,09/24/1997
ASK A/S,ASK,11/29/1996
ASKEY COMPUTER CORPORATION,DYN,07/22/1997
ASKEY COMPUTER CORPORATION,AKY,04/02/1997
ASP MICROELECTRONICS LTD,ASP,11/29/1996
ASPEN TECH INC,ACP,11/29/1996
AST RESEARCH INC,AST,11/29/1996
ASTEC INC,JAC,11/29/1996
ASTRA SECURITY PRODUCTS LTD,ADL,07/30/1997
"ASTRO DESIGN, INC.",ATO,06/06/2003
ASTRO HQ LLC,AHQ,09/05/2018
ASUSCOM NETWORK INC,ASU,11/29/1996
ASUSTEK COMPUTER INC,AUS,12/21/2015
AT&T,ATT,11/29/1996
AT&T GLOBAL INFO SOLUTIONS,GIS,11/29/1996
AT&T MICROELECTRONICS,HSM,11/29/1996
AT&T MICROELECTRONICS,TME,11/29/1996
AT&T PARADYNE,PDN,11/29/1996
ATELIER VISION CORPORATION,AVJ,02/24/2015
ATHENA INFORMATICA S.R.L.,ATH,01/29/1997
ATHENA SMARTCARD SOLUTIONS LTD.,ATN,09/13/1999
ATHENIX CORPORATION,ATX,11/29/1996
ATI TECH INC,BUJ,11/29/1996
ATLANTIS,CFG,11/29/1996
ATM LTD,ATM,11/29/1996
ATOM KOMPLEX PRYLAD,AKP,10/23/2000
ATTACHMATE CORPORATION,AMC,11/29/1996
"ATTERO TECH, LLC",FWA,04/20/2010
AUDIO PROCESSING TECHNOLOGY LTD,APT,03/18/1997
AUDIOSCIENCE,ASX,11/29/1996
"AUGUST HOME, INC.",AUG,06/11/2014
AURAVISION CORPORATION,AVC,11/29/1996
AUREAL SEMICONDUCTOR,AUR,11/29/1996
AUTOLOGIC INC,APS,11/29/1996
AUTOMATED COMPUTER CONTROL SYSTEMS,CLT,09/13/1999
AUTOTIME CORPORATION,AUT,10/08/2001
AUVIDEA GMBH,AUV,04/21/2014
AVALUE TECHNOLOGY INC.,AVL,11/18/2011
AVANCE LOGIC INC,ALS,11/29/1996
AVATRON SOFTWARE INC.,AVS,08/23/2017
AVAYA COMMUNICATION,AVA,03/15/2001
AVEGANT CORPORATION,AVG,12/02/2015
AVENCALL,AEN,01/27/2012
AVER INFORMATION INC.,AVR,05/07/2010
AVID ELECTRONICS CORPORATION,AVD,11/29/1996
AVM GMBH,AVM,11/29/1996
AVOCENT CORPORATION,AVO,10/23/2000
AVOLITES LTD,AAA,02/17/2012
AVTEK (ELECTRONICS) PTY LTD,AVT,11/29/1996
AWETA BV,ACD,01/20/1998
AXEL,AXL,11/29/1996
AXELL CORPORATION,AXE,08/03/2016
"AXIOMTEK CO., LTD.",AXC,05/02/2005
AXONIC LABS LLC,AXO,06/21/2012
AXTEND TECHNOLOGIES INC,AXT,12/01/1997
AXXON COMPUTER CORPORATION,AXX,11/29/1996
"AXYZ AUTOMATION SERVICES, INC",AXY,08/11/1998
AYDIN DISPLAYS,AYD,06/13/2007
AZ MIDDELHEIM - RADIOTHERAPY,AZM,11/14/2003
AZTECH SYSTEMS LTD,AZT,11/29/1996
B&BH,BBH,01/17/2003
B.& V. S.R.L.,SMR,03/21/1997
B.F. ENGINEERING CORPORATION,BFE,11/29/1996
"B.U.G., INC.",BUG,08/30/2011
BANG & OLUFSEN,BNO,05/16/2003
BANKSIA TECH PTY LTD,BNK,11/29/1996
BANYAN,BAN,11/29/1996
BARC,BRC,08/10/2000
BARCO DISPLAY SYSTEMS,BDS,09/13/1999
BARCO GMBH,BCD,03/07/2011
BARCO GRAPHICS N.V,BGB,11/29/1996
"BARCO, N.V.",BPS,09/12/2000
"BARCO, N.V.",DDS,10/23/2000
BAUG & OLUFSEN,BEO,11/29/1996
BEAVER COMPUTER CORPORATON,BCC,11/29/1996
BECKHOFF AUTOMATION,BEC,04/25/2002
BECKWORTH ENTERPRISES INC,BEI,07/16/1997
"BEIHAI CENTURY JOINT INNOVATION TECHNOLOGY CO.,LTD",LHC,09/10/2019
"BEIJING AEROSPACE GOLDEN CARD ELECTRONIC ENGINEERING CO.,LTD.",AGC,06/21/2001
"BEIJING ANHENG SECOTECH INFORMATION TECHNOLOGY CO., LTD.",AHS,03/24/2015
"BEIJING ANTVR TECHNOLOGY CO., LTD.",ANV,08/24/2015
BEIJING NORTHERN RADIANTELECOM CO.,NRT,03/20/1999
BEKO ELEKTRONIK A.S.,BEK,06/15/2005
BELTRONIC INDUSTRIEELEKTRONIK GMBH,BEL,09/05/2006
BENSON MEDICAL INSTRUMENTS COMPANY,BMI,12/04/1996
BERNECKER & RAINER IND-ELETRONIK GMBH,BUR,11/29/1996
BEST BUY,INZ,06/04/2004
BEST BUY,VPR,05/16/2002
BEST POWER,BPU,11/29/1996
BIAMP SYSTEMS CORPORATION,BIA,05/14/2015
BICC DATA NETWORKS LTD,ICC,11/29/1996
BIG ISLAND COMMUNICATIONS,BIC,05/13/1997
BILD INNOVATIVE TECHNOLOGY LLC,BLD,10/22/2019
BILLION ELECTRIC COMPANY LTD,BIL,12/11/1996
BIOLINK TECHNOLOGIES,BLN,08/10/2000
"BIOLINK TECHNOLOGIES INTERNATIONAL, INC.",BIO,05/24/2000
BIOMED LAB,BML,05/22/1997
BIOMEDICAL SYSTEMS LABORATORY,BSL,10/16/1997
BIOMEDISYS,BMS,05/24/2000
BIOMETRIC ACCESS CORPORATION,BAC,05/19/1998
BIOTAO LTD,BTO,03/21/2012
BIT 3 COMPUTER,BIT,11/29/1996
BIT 3 COMPUTER,BTC,11/29/1996
BITFIELD OY,BTF,11/29/1996
"BITHEADZ, INC.",BHZ,09/29/2003
BITWORKS INC.,BWK,07/10/2003
BLACK BOX CORPORATION,BBX,02/28/2017
BLACKMAGIC DESIGN,BMD,09/13/2012
"BLONDER TONGUE LABS, INC.",BDR,09/16/2008
BLOOMBERG L.P.,BLP,09/16/2008
BLUEBOX VIDEO LIMITED,BBV,06/22/2017
BOCA RESEARCH INC,ZZZ,02/13/1997
BOCA RESEARCH INC,BRI,11/29/1996
"BODYSOUND TECHNOLOGIES, INC.",BST,03/12/2008
BOE,BOE,12/02/2004
BOECKELER INSTRUMENTS INC,BII,10/17/1996
BOORIA CAD/CAM SYSTEMS,BCS,05/11/2005
BOS,BOS,07/03/1997
BOSE CORPORATION,BSE,09/05/2006
BOULDER NONLINEAR SYSTEMS,BNS,03/12/2008
BRAEMAC PTY LTD,BRA,11/18/2010
BRAEMAR INC,BRM,10/07/1997
BRAHLER ICS,BDO,06/04/1998
BRAIN BOXES LIMITED,BBL,10/02/2001
"BRIDGE INFORMATION CO., LTD",BRG,08/11/1998
"BRIGHTSIGN, LLC",BSN,02/28/2012
BRILLIANT TECHNOLOGY,BTE,11/29/1996
BROADATA COMMUNICATIONS INC.,BCI,11/19/2013
BROADCOM,BCM,04/01/2004
"BROTHER INDUSTRIES,LTD.",BRO,02/21/2000
"BTC KOREA CO., LTD",NFC,02/25/2002
BUDZETRON INC,BGT,11/29/1996
BULL,BUL,02/03/1998
BULL AB,BNE,10/06/1998
BUSICOM,BLI,08/11/1998
BUSTECH INC,BTI,11/29/1996
BUSTEK,BUS,11/29/1996
BUTTERFLY COMMUNICATIONS,FLY,05/05/1997
BUXCO ELECTRONICS,BXE,11/29/1996
BYD:SIGN CORPORATION,BYD,04/10/2008
C-C-C GROUP PLC,FVX,05/04/1998
C-CUBE MICROSYSTEMS,CCC,11/29/1996
C-DAC,CEP,11/29/1996
C-MEDIA ELECTRONICS,CMI,11/29/1996
C3PO S.L.,XMM,03/03/1998
CA & F ELETTRONICA,CAC,05/16/1999
CABLETIME LTD,CBT,05/04/2010
CABLETRON SYSTEM INC,CSI,11/29/1996
CACHE,CCI,11/29/1996
CALCOMP,CAG,11/29/1996
CALCOMP,CDP,11/29/1996
CALIBRE UK LTD,CUK,09/15/2005
CALIFORNIA INSTITUTE OF TECHNOLOGY,CSO,03/20/1999
CAMBRIDGE AUDIO,CAM,08/09/2008
CAMBRIDGE ELECTRONIC DESIGN LTD,CED,11/29/1996
CAMBRIDGE RESEARCH SYSTEMS LTD,CMR,04/25/2002
CAMMEGH LIMITED,CRW,06/18/2019
CANON INC,CNN,11/29/1996
CANON INC.,CAI,11/06/2001
CANONICAL LTD.,UBU,05/24/2013
CANOPUS COMPANY LTD,CAN,11/29/1996
CAPELLA MICROSYSTEMS INC.,CPM,05/09/2012
CAPETRONIC USA INC,CCP,11/29/1996
CAPSTONE VISUA LPRODUCT DEVELOPMENT,DJE,10/09/2008
CARDINAL COMPANY LTD,CAR,11/29/1996
CARDINAL TECHNICAL INC,CRD,11/29/1996
CARDLOGIX,CLX,03/15/2001
"CARINA SYSTEM CO., LTD.",CKJ,09/03/2010
CARL ZEISS AG,CZE,06/03/2009
CARRERA COMPUTER INC,JAZ,01/01/1994
"CASIO COMPUTER CO.,LTD",CAS,10/06/1998
"CASTLES AUTOMATION CO., LTD",CAA,01/13/2000
"CAVIUM NETWORKS, INC",CAV,02/02/2011
CCL/ITRI,CCL,03/31/1997
CEBRA TECH A/S,CBR,11/29/1996
CEFAR DIGITAL VISION,CEF,02/19/1997
CENTURION TECHNOLOGIES P/L,CEN,10/23/2000
CENTURY CORPORATION,TCE,11/29/1996
CEREVO INC.,CRV,07/13/2010
CERONIX,CER,09/02/2008
CETON CORPORATION,TOM,05/08/2014
CH PRODUCTS,CHP,04/24/1997
"CHANGHONG ELECTRIC CO.,LTD",CHD,11/30/2001
CHAPLET SYSTEMS INC,FIR,11/29/1996
CHASE RESEARCH PLC,CHA,11/29/1996
CHENMING MOLD IND. CORP.,CMG,11/14/2003
CHERRY GMBH,CHY,05/16/1999
CHI MEI OPTOELECTRONICS CORP.,CMO,03/15/2001
CHIC TECHNOLOGY CORP.,CHM,07/16/1999
CHICONY ELECTRONICS COMPANY LTD,CEC,11/29/1996
CHIMEI INNOLUX CORPORATION,CMN,09/02/2010
"CHINA HUALU GROUP CO., LTD.",HLG,05/13/2013
CHLORIDE-R&D,CHL,11/29/1996
CHRISTIE DIGITAL SYSTEMS INC,CDG,04/24/2001
CHRISTMANN INFORMATIONSTECHNIK + MEDIEN GMBH & CO. KG,CHR,05/25/2017
CHROMATEC VIDEO PRODUCTS LTD,CVP,08/09/2013
CHRONTEL INC,CHI,11/29/1996
"CHUNGHWA PICTURE TUBES, LTD",CGA,01/01/1994
"CHUNGHWA PICTURE TUBES,LTD.",CHT,03/15/2001
"CHUNGHWA TELECOM CO., LTD.",CTE,05/16/2002
"CHUNICHI DENSHI CO.,LTD.",KCD,12/23/2010
"CHUOMUSEN CO., LTD.",QQQ,08/07/2002
CHYRON CORP,CGS,11/13/2008
CINE-TAL,CNE,06/13/2007
CIPHER SYSTEMS INC,PTG,11/29/1996
CIPRICO INC,CIP,11/29/1996
CIPRICO INC,CPC,11/29/1996
CIREL SYSTEMES,FPX,11/29/1996
CIRQUE CORPORATION,CRQ,11/29/1996
CIRRUS LOGIC INC,CIR,11/29/1996
CIRRUS LOGIC INC,CLI,11/29/1996
CIRTECH (UK) LTD,SNS,08/20/1997
CIS TECHNOLOGY INC,WSC,11/29/1996
CISCO SYSTEMS INC,CIS,11/29/1996
CITICOM INFOTECH PRIVATE LIMITED,CIL,08/10/2000
CITIFAX LIMITED,CIT,07/16/1997
CITRON GMBH,CIN,07/28/2005
CLARION COMPANY LTD,CLA,11/29/1996
CLARITY VISUAL SYSTEMS,CVS,01/13/2000
CLASSE AUDIO,CLE,02/16/2006
CLEVO COMPANY,CLV,01/30/1998
CLINTON ELECTRONICS CORP.,PPM,10/01/2003
CLONE COMPUTERS,CLO,11/29/1996
CLOUDIUM SYSTEMS LTD.,CSL,02/14/2013
CMC LTD,CMC,11/29/1996
CNET TECHNICAL INC,JQE,11/29/1996
"COBY ELECTRONICS CO., LTD",COB,06/13/2007
CODAN PTY. LTD.,COD,10/23/2000
CODEC INC.,COI,11/30/2001
CODENOLL TECHNICAL CORPORATION,CDN,11/29/1996
COINT MULTIMEDIA SYSTEMS,CNT,03/20/1999
COLIN.DE,CDE,01/18/2005
"COLORADO MICRODISPLAY, INC.",CMD,03/20/1999
"COLORADO VIDEO, INC.",CVI,08/15/2012
COM 1,MVX,11/29/1996
COMARK LLC,CMK,07/15/2020
COMEX ELECTRONICS AB,CMX,05/28/2004
COMM. INTELLIGENCE CORPORATION,CIC,11/29/1996
COMMAT L.T.D.,CLD,08/10/2000
"COMMUNICATIONS SPECIALIES, INC.",SDH,09/06/2005
COMMUNICATIONS SUPPLY CORPORATION (A DIVISION OF WESCO),INX,11/07/2012
COMPAL ELECTRONICS INC,CPL,11/29/1996
COMPAQ COMPUTER COMPANY,CPQ,11/29/1996
COMPOUND PHOTONICS,CPP,10/01/2013
COMPUADD,CPD,11/29/1996
COMPUMASTER SRL,CMS,02/22/1999
COMPUTER DIAGNOSTIC SYSTEMS,CDS,03/15/2001
COMPUTER PERIPHERALS INC,CPI,11/29/1996
COMPUTER TECHNOLOGY CORPORATION,CTP,03/26/1998
COMPUTERBOARDS INC,CBI,02/03/1998
COMPUTERM CORPORATION,CTM,11/29/1996
COMPUTONE PRODUCTS,CTN,11/29/1996
COMREX,COX,10/18/2011
"COMTEC SYSTEMS CO., LTD.",CTS,04/25/2002
COMTIME GMBH,CMM,09/23/2002
COMTROL CORPORATION,COM,11/29/1996
CONCEPT DEVELOPMENT INC,CDI,11/29/1996
CONCEPT SOLUTIONS & ENGINEERING,CSE,12/11/1996
CONCEPTS INC,DCI,11/29/1996
CONEXANT SYSTEMS,CXT,01/20/1999
CONGATEC AG,CGT,06/16/2011
CONNECT INT'L A/S,CNI,11/29/1996
CONNECTWARE INC,CWR,11/29/1996
CONRAC GMBH,CRC,04/20/2004
CONSULTANCY IN ADVANCED TECHNOLOGY,CAT,09/19/1997
CONSUMER ELECTRONICS ASSOCIATION,CEA,09/05/2006
"CONTEC CO.,LTD.",CCJ,08/10/2000
CONTEC COMPANY LTD,CON,11/29/1996
CONTEMPORARY RESEARCH CORP.,CRH,02/24/2015
CONTROL4 CORPORATION,CTR,05/28/2014
CONVERGENT DATA DEVICES,CDD,02/27/2004
CONVERGENT DESIGN INC.,CDV,09/05/2006
"CONVERGENT ENGINEERING, INC.",CIE,09/05/2018
COOLUX GMBH,COO,09/30/2010
CORE DYNAMICS CORPORATION,CDC,11/29/1996
CORE TECHNOLOGY INC,COT,04/19/2000
CORELOGIC,CLG,11/27/1998
CORION INDUSTRIAL CORPORATION,ART,11/29/1996
CORNERSTONE IMAGING,CRN,11/29/1996
COROLLARY INC,COR,12/13/1996
COSMIC ENGINEERING INC.,CSM,04/18/2012
COSTAR CORPORATION,COS,11/29/1996
COSYSTEMS INC,CTA,10/24/1998
COVIA INC.,CVA,05/11/2010
CPATH,CPT,03/09/1998
"CRALTECH ELECTRONICA, S.L.",CRA,03/24/2015
CRAY COMMUNICATIONS,CDK,11/29/1996
CRE TECHNOLOGY CORPORATION,IOA,06/30/1997
CREATIVE LABS INC,CRE,11/29/1996
CREATIVE LOGIC  ,CRL,10/16/1997
CREATIVE TECHNOLOGY LTD,CTL,11/29/1996
CREATIX POLYMEDIA GMBH,CTX,11/29/1996
CRESCENDO COMMUNICATION INC,CRS,11/29/1996
CRESTA SYSTEMS INC,CSD,08/01/1997
"CRESTRON ELECTRONICS, INC.",CEI,05/08/2006
CRIO INC.,CRI,09/13/1999
CROMACK INDUSTRIES INC,CII,01/22/1997
CRYSTAL COMPUTER,XTL,11/29/1996
CRYSTAL SEMICONDUCTOR,CSC,11/29/1996
CRYSTALAKE MULTIMEDIA,CLM,11/29/1996
CSS LABORATORIES,CSS,01/02/1997
CSTI INC,CST,11/29/1996
CTC COMMUNICATION DEVELOPMENT COMPANY LTD,CTC,10/21/1997
CUBIX CORPORATION,CUB,11/29/1996
"CURTISS-WRIGHT CONTROLS, INC.",CWC,04/05/2013
