COMPANY,PNP ID,Approved on Date
CYBERLABS,CYL,04/14/1998
CYBERVISION,CYB,05/13/1997
CYBERWARE,CYW,02/21/2000
CYBEX COMPUTER PRODUCTS CORPORATION,CBX,11/08/1999
CYCLADES CORPORATION,CYD,05/07/2001
CYLINK CORPORATION,CYC,11/29/1996
CYPRESS SEMICONDUCTOR CORPORATION,CYP,05/25/2016
CYRIX CORPORATION,CYX,10/21/1997
CYRIX CORPORATION,CRX,03/21/1997
CYTECHINFO INC,CYT,03/13/1998
CYVIZ AS,CYV,04/25/2002
"D&M HOLDINGS INC, PROFESSIONAL BUSINESS COMPANY",DMP,09/05/2006
D-LINK SYSTEMS INC,ABO,11/29/1996
D-LINK SYSTEMS INC,DLK,11/29/1996
D.N.S. CORPORATION,OPI,11/29/1996
DA2 TECHNOLOGIES CORPORATION,DDA,03/13/2006
DA2 TECHNOLOGIES INC,DAW,09/06/2005
DAEWOO ELECTRONICS COMPANY LTD,DWE,11/29/1996
DAI TELECOM S.P.A.,TLT,06/04/2003
"DAINTELECOM CO., LTD",DIN,11/08/1999
DAIS SET LTD.,DAI,02/21/2000
DAKTRONICS,DAK,06/23/2004
DALE COMPUTER CORPORATION,DCC,11/29/1996
DANCALL TELECOM A/S,DCT,08/12/1997
DANELEC MARINE A/S,DAN,12/24/2009
DANKA DATA DEVICES,DDD,11/29/1996
DAOU TECH INC,DAU,11/29/1996
DAT,HCA,03/15/2001
DATA APEX LTD,DAX,11/29/1996
DATA DISPLAY AG,DDI,07/17/2002
DATA EXPERT CORPORATION,DXP,11/29/1996
DATA EXPORT CORPORATION,EXP,11/29/1996
DATA GENERAL CORPORATION,DGC,11/29/1996
DATA MODUL AG,DMO,12/03/2013
DATA PRICE INFORMATICA,EBH,05/24/2001
DATA RACE INC,DRI,07/30/1997
DATA RAY CORP.,DRC,11/30/2001
DATA TRANSLATION,DTX,11/29/1996
DATA VIDEO,DVT,02/13/2007
DATABOOK INC,DBK,11/29/1996
DATACAST LLC,DCD,12/02/1997
DATACOMMUNICATIE TRON B.V.,TRN,11/29/1996
DATACUBE INC,DQB,11/29/1996
DATADESK TECHNOLOGIES INC,DDT,11/27/1998
DATAKEY INC,DKY,04/06/1998
DATALOGIC CORPORATION,LJX,11/29/1996
DATANG TELEPHONE CO,DTN,09/23/1998
DATAQ INSTRUMENTS INC,DII,11/29/1996
DATASAT DIGITAL ENTERTAINMENT,DDE,11/18/2011
DATATRONICS TECHNOLOGY INC,DCV,01/02/1997
DATEL INC,DAT,11/29/1996
DATENERFASSUNGS- UND INFORMATIONSSYSTEME,MSD,03/16/1998
DAVICOM SEMICONDUCTOR INC,DAV,01/15/1997
DAVIS AS,DAS,02/03/1998
DB NETWORKS INC,DBN,12/01/1997
DBA HANS WEDEMEYER,HWC,03/20/1999
DCM DATA PRODUCTS,DCM,11/29/1996
DEARBORN GROUP TECHNOLOGY,DGT,11/11/1997
DECIMATOR DESIGN PTY LTD,DXD,03/06/2012
DECROS LTD,DCR,11/29/1996
DEEP VIDEO IMAGING LTD,MLD,08/14/2003
DEI HOLDINGS DBA DEFINITIVE TECHNOLOGY,DFT,12/09/2011
DEICO ELECTRONICS,DEI,11/29/1996
DELL INC,DLL,03/27/2009
DELL INC.,DEL,12/09/2009
DELPHI AUTOMOTIVE LLP,DPH,10/15/2013
DELTA ELECTRONICS INC,DPC,11/29/1996
"DELTA INFORMATION SYSTEMS, INC",DDV,01/03/2012
DELTATEC,DTA,03/13/2009
DELTEC CORPORATION,FPS,11/29/1996
"DENON, LTD.",DON,04/01/2004
DENSION AUDIO SYSTEMS,DHD,03/04/2013
DENSITRON COMPUTERS LTD,DEN,09/13/1999
"DESIGN & TEST TECHNOLOGY, INC.",DTT,09/30/2010
DESIGN TECHNOLOGY,LPI,11/29/1996
DETERMINISTIC NETWORKS INC.,DNI,04/19/2000
DEUTSCHE TELEKOM BERKOM GMBH,BCQ,08/12/1997
DEUTSCHE THOMSON OHG,DTO,06/14/2007
DEVOLO AG,DVL,05/30/2002
DEXTERA LABS INC,DXL,12/09/2009
DFI,DFI,11/29/1996
DH PRINT,DHP,11/29/1996
DIADEM,DIA,11/29/1996
DIAGSOFT INC,DGS,11/29/1996
DIALOGUE TECHNOLOGY CORPORATION,DCO,06/16/2004
DIAMOND COMPUTER SYSTEMS INC,DCS,11/29/1996
DIAMOND LANE COMM. CORPORATION,DLC,11/29/1996
DICON,DNV,12/15/2004
DICTAPHONE CORPORATION,DVD,04/03/1998
DIEBOLD INC.,DBD,09/05/2006
DIEBOLD NIXDORF SYSTEMS GMBH,WNX,09/20/2004
DIGATRON INDUSTRIE ELEKTRONIK GMBH,DAE,02/24/1997
DIGI INTERNATIONAL,DGI,11/29/1996
DIGIBOARD INC,DBI,11/29/1996
DIGICOM S.P.A.,DIG,11/29/1996
DIGICOM SYSTEMS INC,DMB,03/13/1998
DIGICORP EUROPEAN SALES S.A.,DGP,05/22/1997
DIGIITAL ARTS INC,DGA,06/14/2007
DIGIPRONIX CONTROL SYSTEMS,DXC,07/16/1999
DIGITAL ACOUSTICS CORPORATION,DAC,05/24/2000
DIGITAL AUDIO LABS INC,DAL,11/29/1996
DIGITAL COMMUNICATIONS ASSOCIATION,DCA,11/29/1996
DIGITAL DISCOVERY,SHR,09/24/1997
DIGITAL EQUIPMENT CORPORATION,DEC,11/29/1996
DIGITAL PROCESSING SYSTEMS,DPS,11/29/1996
DIGITAL PROJECTION LIMITED,DPL,07/09/2002
DIGITAL REFLECTION INC.,DRD,02/21/2000
DIGITAL VIDEO SYSTEM,DVS,11/29/1996
DIGITAL-LOGIC GMBH,DLG,09/02/2003
DIGITALK PRO AV,DPA,10/23/2000
DIGITAN SYSTEMS INC,DSI,11/29/1996
DIGITELEC INFORMATIQUE PARK CADERA,DLT,11/29/1996
DIMENSION ENGINEERING LLC,DMN,02/06/2019
"DIMENSION TECHNOLOGIES, INC.",DTE,05/03/2010
DIMOND MULTIMEDIA SYSTEMS INC,DMM,11/29/1996
DISEDA S.A.,DIS,11/29/1996
DISGUISE TECHNOLOGIES,DSG,10/22/2019
DISPLAY SOLUTION AG,DSA,02/03/2016
"DISTRIBUTED MANAGEMENT TASK FORCE, INC. (DMTF)",DMT,03/31/2009
"DIVERSIFIED TECHNOLOGY, INC.",DTI,11/29/1996
"DNA ENTERPRISES, INC.",DNA,09/01/1998
DO NOT USE - AUO,AUO,09/16/2008
DO NOT USE - LPL,LPL,09/16/2008
DO NOT USE - PHI,PHI,11/29/1996
DO NOT USE - PTW,PTW,09/09/2009
DO NOT USE - PVC,PVC,09/09/2009
DO NOT USE - RTK,RTK,09/09/2009
DO NOT USE - SEG,SEG,09/09/2009
DO NOT USE - TNJ,TNJ,09/09/2009
DO NOT USE - UND,UND,11/29/1996
DO NOT USE - UNE,UNE,11/29/1996
DO NOT USE - UNF,UNF,11/29/1996
DO NOT USE - WAN,WAN,09/09/2009
DO NOT USE - XER,XER,09/09/2009
DO NOT USE - XOC,XOC,09/09/2009
DOBLE ENGINEERING COMPANY,DBL,11/29/1996
DOCUPOINT,DPI,11/29/1996
DOLBY LABORATORIES INC.,DLB,01/27/2010
DOLMAN TECHNOLOGIES GROUP INC,DOL,11/11/1997
DOMAIN TECHNOLOGY INC,DSP,11/29/1996
DOME IMAGING SYSTEMS,DMS,10/23/2000
DOME IMAGING SYSTEMS,DOM,11/29/1996
"DONGGUAN ALLLIKE ELECTRONICS CO., LTD.",AIK,04/11/2015
DOSCH & AMAND GMBH & COMPANY KG,DUA,12/02/1997
DOTRONIC MIKROELEKTRONIK GMBH,DOT,06/28/2002
"DPICT IMAGING, INC.",DIM,02/12/2008
"DPIX, INC.",DPX,09/23/1998
DPT,DPT,11/29/1996
DR. BOTT KG,DRB,04/25/2002
DR. NEUHOUS TELEKOMMUNIKATION GMBH,DNT,11/29/1996
DRAGON INFORMATION TECHNOLOGY,DIT,11/29/1996
"DRS DEFENSE SOLUTIONS, LLC",DRS,10/18/2011
DS MULTIMEDIA PTE LTD,DSD,02/14/2006
DSM DIGITAL SERVICES GMBH,DSM,11/29/1996
DSPACE GMBH,DCE,12/16/1996
DTC TECH CORPORATION,DTC,11/29/1996
"DUGOTECH CO., LTD",DGK,06/14/2007
DUNE MICROSYSTEMS CORPORATION,DMC,11/29/1996
DYCAM INC,DYC,01/08/1998
DYMO-COSTAR CORPORATION,DYM,12/28/1998
DYNABOOK INC.,TOS,11/29/1996
DYNAMIC CONTROLS LTD,DCL,05/24/2000
DYNAX ELECTRONICS (HK) LTD,DTK,11/29/1996
DYNAX ELECTRONICS (HK) LTD,DYX,11/29/1996
E-CMOS TECH CORPORATION,ECM,11/29/1996
E-NET INC,DTL,10/16/1997
E-SYSTEMS INC,ESY,11/29/1996
E-TECH INC,ETT,11/29/1996
E.DIGITAL CORPORATION,EDC,10/23/2000
E.E.P.D. GMBH,EEP,06/14/2007
EAGLE TECHNOLOGY,EGL,11/29/1996
EASTMAN KODAK COMPANY,KOD,05/24/2000
EASTMAN KODAK COMPANY,EKC,11/29/1996
EASYTEL OY,TWI,07/16/1999
EBS EUCHNER BÜRO- UND SCHULSYSTEME GMBH,EBS,02/05/2013
ECHO SPEECH CORPORATION,ECO,11/29/1996
ECHOSTAR CORPORATION,ECH,02/26/2016
ECLIPSE TECH INC,ETI,11/29/1996
EDEN SISTEMAS DE COMPUTACAO S/A,ESC,11/29/1996
EDIMAX TECH. COMPANY LTD,EDI,11/29/1996
EDMI,EDM,07/16/1998
EDSUN LABORATORIES,ELI,11/29/1996
"EE SOLUTIONS, INC.",EES,04/16/2003
EEH DATALINK GMBH,EEH,07/03/1997
EFFICIENT NETWORKS,ENI,11/29/1996
"EGENERA, INC.",EGN,10/08/2002
EICON TECHNOLOGY CORPORATION,EIC,11/29/1996
EIZO GMBH DISPLAY TECHNOLOGIES,EGD,02/13/2009
EIZO NANAO CORPORATION,ENC,12/28/1998
EIZO RUGGED SOLUTIONS,ERS,05/25/2016
EKSEN YAZILIM,EKS,04/25/2002
"EL-PUSK CO., LTD.",LPE,08/14/2001
ELAD SRL,ELA,04/25/2002
ELAN MICROELECTRONICS CORPORATION,ETD,11/03/2009
ELAN MICROELECTRONICS CORPORATION,TSH,11/14/2014
ELBIT SYSTEMS OF AMERICA,ESA,06/15/2009
ELCON SYSTEMTECHNIK GMBH,ESG,07/16/1999
ELEA CARDWARE,LXS,06/25/1998
ELECOM COMPANY LTD,ECP,11/29/1996
ELECOM COMPANY LTD,ELE,11/29/1996
ELECTRO CAM CORP.,ECA,08/10/2000
ELECTRO SCIENTIFIC IND,ELC,11/29/1996
ELECTRONIC MEASUREMENTS,MMM,11/29/1996
ELECTRONIC TRADE SOLUTIONS LTD,ETS,08/20/2002
ELECTRONIC-DESIGN GMBH,EDG,08/12/1997
ELECTROSONIC LTD,ELL,09/13/1999
ELEGANT INVENTION,EIN,03/29/2018
"ELEMENT LABS, INC.",ELT,10/11/2007
ELGATO SYSTEMS LLC,EGA,02/08/2011
ELITEGROUP COMPUTER SYSTEMS COMPANY LTD,ECS,11/29/1996
ELITEGROUP COMPUTER SYSTEMS COMPANY LTD,UEG,11/29/1996
ELMEG GMBH KOMMUNIKATIONSTECHNIK,ELG,11/29/1996
ELMIC SYSTEMS INC,ELM,11/29/1996
"ELMO COMPANY, LIMITED",EMO,06/26/2012
ELO TOUCHSYSTEMS INC,ELO,11/29/1996
ELONEX PLC,ELX,11/29/1996
ELSA GMBH,ELS,11/29/1996
ELTEC ELEKTRONIK AG,EAG,11/25/2014
EMBEDDED COMPUTING INC LTD,EMB,02/25/2002
EMBEDDED SOLUTION TECHNOLOGY,EST,05/24/2000
EMBRIONIX DESIGN INC.,EMD,07/24/2013
EMCORE CORPORATION,EMK,05/31/2012
EMERGING DISPLAY TECHNOLOGIES CORP,EDT,08/18/2009
EMG CONSULTANTS INC,EMG,11/29/1996
EMICRO CORPORATION,EMC,01/01/1994
"EMINE TECHNOLOGY COMPANY, LTD.",EME,06/16/2005
EMPAC,EPC,12/04/1996
EMULEX CORPORATION,EMU,11/29/1996
ENCIRIS TECHNOLOGIES,ECI,11/01/2008
ENCIRIS TECHNOLOGIES,ECT,11/01/2008
ENE TECHNOLOGY INC.,ENE,03/15/2001
ENHANSOFT,EHN,11/16/2010
ENIDAN TECHNOLOGIES LTD,END,04/19/2000
"ENSEMBLE DESIGNS, INC",ESD,12/09/2009
ENSONIQ CORPORATION,ENS,11/29/1996
ENTERPRISE COMM. & COMPUTING INC,ENT,11/29/1996
"ENVISION PERIPHERALS, INC",EPI,02/22/1999
"EON INSTRUMENTATION, INC.",EON,01/15/2015
EPICON INC.,EPN,09/23/1998
EPIPHAN SYSTEMS INC. ,EPH ,03/14/2011
EPSON RESEARCH,EHJ,11/29/1996
EQUINOX SYSTEMS INC,EQX,11/29/1996
EQUIPE ELECTRONICS LTD.,EQP,07/14/2005
ERGO ELECTRONICS,EGO,11/29/1996
ERGO SYSTEM,ERG,11/29/1996
ERICSSON MOBILE COMMUNICATIONS AB,ERI,10/22/1997
ERICSSON MOBILE NETWORKS B.V.,EUT,04/14/1998
"ERICSSON, INC.",ERN,09/23/1998
ES&S,ESK,11/08/1999
ESATURNUS,ESN,02/21/2012
ESCORT INSTURMENTS CORPORATION,ERT,05/02/1997
ESS TECHNOLOGY INC,ESS,11/29/1996
ESSENTIAL COMM. CORPORATION,ECC,11/29/1996
ESTERLINE BELGIUM BVBA,ESB,01/15/2015
ESTERLINE TECHNOLOGIES,ESL,01/06/2012
ET&T TECHNOLOGY COMPANY LTD,EEE,05/04/1998
ETEK LABS INC.,ETK,07/16/1998
ETHERBOOT PROJECT,ETH,07/09/2010
"EUGENE CHUKHLOMIN SOLE PROPRIETORSHIP, D.B.A.",ECK,05/03/2008
EURAPLAN GMBH,ERP,11/29/1996
EVANS AND SUTHERLAND COMPUTER,EAS,01/28/2003
EVEREX,EVX,11/29/1996
EVERTON TECHNOLOGY COMPANY LTD,ETC,04/10/1997
EVERTZ MICROSYSTEMS LTD.,ETL,06/14/2007
EVIATEG GMBH,EVI,02/21/2000
EX MACHINA INC,EMI,11/29/1996
EXABYTE,EXA,11/29/1996
EXACOM SA,YHW,11/29/1996
EXATECH COMPUTADORES & SERVICOS LTDA,EXT,09/23/1998
EXCEL COMPANY LTD,ECL,05/27/1997
EXCESSION AUDIO,EXC,11/06/1998
EXFO ELECTRO OPTICAL ENGINEERING,XFO,04/29/1998
EXIDE ELECTRONICS,EXI,11/29/1996
EXPLORER INC.,EXR,11/18/2015
"EXPRESS INDUSTRIAL, LTD.",ELU,09/10/2015
"EXPRESS LUCK, INC.",ELD,10/22/2019
"EXTENDED SYSTEMS, INC.",ESI,07/16/1999
EXTERITY LTD,EXY,02/12/2009
EXTRAORDINARY TECHNOLOGIES PTY LIMITED,CRO,04/11/2005
"EXTREME ENGINEERING SOLUTIONS, INC.",XES,06/22/2017
EXXACT GMBH,EXX,11/29/1996
EYEFACTIVE GMBH,EYF,07/07/2015
EYEVIS GMBH,EYE,11/18/2011
EZE TECHNOLOGIES,EZE,02/21/2005
F.J. TIEMAN BV,FJT,06/25/1998
FAIRFIELD INDUSTRIES,FFI,11/29/1996
"FANTALOOKS CO., LTD.",FAN,03/12/2014
FANUC LTD,FNC,01/29/1997
FARALLON COMPUTING,FAR,11/29/1996
FARO TECHNOLOGIES,FRO,09/21/2012
FAROUDJA LABORATORIES,FLI,06/02/2004
FAST MULTIMEDIA AG,FMA,11/29/1996
"FASTPOINT TECHNOLOGIES, INC.",FTI,06/21/2001
FEATURE INTEGRATION TECHNOLOGY INC.,FIT,08/11/2009
FELLOWES & QUESTEC,FEL,11/29/1996
"FELLOWES, INC.",FMI,07/05/2001
FEN SYSTEMS LTD.,FEN,05/04/2010
FERRANTI INT'L,FER,11/29/1996
FERRARI ELECTRONIC GMBH,TLA,12/04/1996
FHLP,FHL,11/29/1996
FIBERNET RESEARCH INC,FRI,11/29/1996
"FINDEX, INC.",FDX,10/22/2019
"FINECOM CO., LTD.",FIN,11/27/1998
FINGERPRINT CARDS AB,FPC,06/14/2013
FIRST INDUSTRIAL COMPUTER INC,PCG,11/29/1996
FIRST INTERNATIONAL COMPUTER INC,LEO,09/19/1997
FIRST INTERNATIONAL COMPUTER LTD,FCG,04/10/1997
FIRST VIRTUAL CORPORATION,FVC,11/29/1996
FLAT CONNECTIONS INC,FWR,11/29/1996
FLIGHTSAFETY INTERNATIONAL,SSD,08/10/2000
FLY-IT SIMULATORS,FIS,09/08/1997
"FOCALTECH SYSTEMS CO., LTD.",FTS,07/23/2013
"FOCUS ENHANCEMENTS, INC.",FCS,12/12/2002
FOKUS TECHNOLOGIES GMBH,FOK,10/22/2013
FOR-A COMPANY LIMITED,FOA,12/06/2008
FORCE COMPUTERS,FRC,11/29/1996
FORD MICROELECTRONICS INC,FMC,03/11/1997
FORE SYSTEMS INC,FSI,11/29/1996
FOREFRONT INT'L LTD,FIL,11/29/1996
FORMOSA INDUSTRIAL COMPUTING INC,FIC,11/29/1996
FORMOZA-ALTAIR,FMZ,04/25/2003
FORTH DIMENSION DISPLAYS LTD,FDD,07/07/2015
FORVUS RESEARCH INC,FRE,04/24/1997
FOSS TECATOR,FOS,10/22/1997
FOUNDER GROUP SHENZHEN CO.,FZC,11/08/1999
FOUNTAIN TECHNOLOGIES INC,FTN,11/29/1996
FOVE INC,FOV,07/01/2016
FRAUNHOFER HEINRICH-HERTZ-INSTITUTE,HHI,07/27/2012
FREEDOM SCIENTIFIC BLV,FRD,06/15/2007
FREEMARS HEAVY INDUSTRIES,TCX,03/15/2001
FRONTLINE TEST EQUIPMENT INC.,FTE,01/20/1999
FTG DATA SYSTEMS,FTG,11/29/1996
FUJI XEROX,FXX,11/29/1996
FUJIFILM CORPORATION,FFC,08/22/2011
FUJITSU DISPLAY TECHNOLOGIES CORP.,FDT,10/23/2002
FUJITSU GENERAL LIMITED.,FGL,02/21/2000
FUJITSU LTD,FUJ,11/29/1996
FUJITSU MICROELECT LTD,FML,11/29/1996
FUJITSU PERIPHERALS LTD,FPE,08/19/1997
FUJITSU SIEMENS COMPUTERS GMBH,FUS,01/13/2000
FUJITSU SPAIN,FJS,11/29/1996
FUJITSU TAKAMISAWA COMPONENT LIMITED,FJC,05/16/1999
FUJITSU TEN LIMITED,FTL,12/20/2011
"FUNAI ELECTRIC CO., LTD.",FNI,01/18/2005
FURUKAWA ELECTRIC COMPANY LTD,FCB,11/29/1996
"FURUNO ELECTRIC CO., LTD.",FEC,11/29/1996
"FUTURE DESIGNS, INC.",FDI,09/29/2014
FUTURE DOMAIN,FDC,11/29/1996
FUTURE SYSTEMS CONSULTING KK,FSC,11/29/1996
FUTURETOUCH CORPORATION,FTC,11/29/1996
FZI FORSCHUNGSZENTRUM INFORMATIK,FZI,08/12/1997
G&W INSTRUMENTS GMBH,SPH,02/25/2002
G-TECH CORPORATION,GTK,11/29/1996
G. DIEHL ISDN GMBH,GDI,11/29/1996
G2TOUCH KOREA,GGT,05/25/2017
GADGET LABS LLC,GLS,11/29/1996
GAGE APPLIED SCIENCES INC,GAG,11/29/1996
"GAI-TRONICS, A HUBBELL COMPANY",HUB,03/26/2009
GALIL MOTION CONTROL,GAL,11/29/1996
GARMIN INTERNATIONAL,GRM,12/09/2011
GARNET SYSTEM COMPANY LTD,GTM,11/29/1996
GATEWAY 2000,GWY,11/29/1996
GATEWAY COMM. INC,GCI,11/29/1996
GATEWORKS CORPORATION,GWK,07/31/2013
"GAUDI CO., LTD.",GAU,03/31/2003
GCC TECHNOLOGIES INC,GCC,06/05/1997
GDS,GDS,06/23/2004
GE FANUC EMBEDDED SYSTEMS,GEF,06/14/2007
GECHIC CORPORATION,GEC,01/04/2016
GEFEN INC.,GFN,10/11/2007
GEM PLUS,GEM,02/27/1998
GEMINI 2000 LTD,GMN,10/23/2000
GENERAL DATACOM,GDC,11/29/1996
GENERAL DYNAMICS C4 SYSTEMS,GED,01/09/2013
GENERAL INFORMATION SYSTEMS,GML,01/13/2000
GENERAL INST. CORPORATION,GIC,11/29/1996
GENERAL STANDARDS CORPORATION,GSC,07/16/1998
"GENERAL TOUCH TECHNOLOGY CO., LTD.",GTT,11/21/2002
GENESYS ATE INC,GEN,11/29/1996
GENESYS LOGIC,GLM,11/08/1999
GENNUM CORPORATION,GND,09/05/2006
GEO SENSE,GEO,11/29/1996
GEOTEST MARVIN TEST SYSTEMS INC,GTS,02/24/1998
GERMANEERS GMBH,GER,12/20/2011
GES SINGAPORE PTE LTD,GES,03/15/2001
GETAC TECHNOLOGY CORPORATION,GET,05/11/2010
GFMESSTECHNIK GMBH,GFM,03/15/2001
GI PROVISION LTD,GIP,02/08/2012
"GIGA-BYTE TECHNOLOGY CO., LTD.",GBT,09/05/2018
GLOBAL DATA SA,PST,11/29/1996
GLOBAL VILLAGE COMMUNICATION,GVL,11/29/1996
GMK ELECTRONIC DESIGN GMBH,GMK,01/18/2008
GMM RESEARCH INC,GMM,11/29/1996
GMX INC,GMX,11/29/1996
GN NETTEST INC,GNN,07/30/1997
GOEPEL ELECTRONIC GMBH,GOE,06/24/2013
GOLD RAIN ENTERPRISES CORP.,GRE,06/04/2003
GOLDMUND - DIGITAL AUDIO SA,GLD,02/06/2012
GOLDSTAR COMPANY LTD,GSM,11/29/1996
GOLDTOUCH,GTI,08/06/1997
GOOGLE INC.,GGL,05/26/2010
"GOPRO, INC.",GPR,01/15/2015
GRANCH LTD,GRH,09/23/2002
GRAND JUNCTION NETWORKS,GJN,11/29/1996
"GRANDSTREAM NETWORKS, INC.",GSN,03/03/2014
GRAPHIC SYSTEMTECHNOLOGY,GST,11/29/1996
GRAPHICA COMPUTER,GRA,11/29/1996
GRAPHTEC CORPORATION,GTC,11/29/1996
GRASS VALLEY GERMANY GMBH,TGV,06/14/2007
"GREENARRAYS, INC.",GAC,11/18/2015
GREY CELL SYSTEMS LTD,GCS,04/29/1997
GROSSENBACHER SYSTEME AG,GSY,04/19/2000
"GUANGZHOU SHIRUI ELECTRONICS CO., LTD.",SWO,10/16/2015
GUANGZHOU TECLAST INFORMATION TECHNOLOGY LIMITED,SKM,11/18/2015
GUILLEMONT INTERNATIONAL,GIM,10/29/1997
GUNTERMANN & DRUNCK GMBH,GUD,03/10/2003
GUNZE LIMITED,GZE,05/02/2005
GUNZE LTD,GNZ,11/29/1996
GUZIK TECHNICAL ENTERPRISES,GUZ,11/29/1996
GVC CORPORATION,GVC,11/29/1996
GW INSTRUMENTS,GWI,11/29/1996
H.P.R. ELECTRONICS GMBH,HPR,08/29/2007
HAGIWARA SYS-COM COMPANY LTD,HSC,11/29/1996
HAIDER ELECTRONICS,HAE,07/05/2001
HAIVISION SYSTEMS INC.,HAI,11/15/2007
HALBERTHAL,HAL,02/10/1998
HALL RESEARCH,HRI,05/10/2012
HAMAMATSU PHOTONICS K.K.,HPK,12/20/2006
"HAMPSHIRE COMPANY, INC.",HTI,01/20/1999
HANCHANG SYSTEM CORPORATION,HAN,06/21/2003
HANGZHOU ZMCHIVIN,ZMC,10/16/2015
HANNSTAR DISPLAY CORP,HSD,08/11/2009
HANNSTAR DISPLAY CORP,HSP,08/11/2009
HARDCOM ELEKTRONIK & DATATEKNIK,HDC,04/14/1998
"HARMAN INTERNATIONAL INDUSTRIES, INC",HII,01/09/2015
HARRIS & JEFFRIES INC,HJI,11/29/1996
HARRIS CANADA INC,HWA,03/13/1998
HARRIS CORPORATION,HAR,12/20/2011
HARRIS SEMICONDUCTOR,HRS,01/02/1997
HAUPPAUGE COMPUTER WORKS INC,HCW,11/29/1996
HAYES MICROCOMPUTER PRODUCTS INC,HAY,11/29/1996
HCL AMERICA INC,HCL,11/29/1996
HCL PERIPHERALS,HCM,10/02/2001
HD-INFO D.O.O.,HDI,10/08/2001
"HEADPLAY, INC.",HPI,04/30/2007
HENG YU TECHNOLOGY (HK) LIMITED,HYT,10/23/2000
HERCULES,HRC,03/15/2001
HERCULES,HRT,03/15/2001
HEROLAB GMBH,HRL,03/17/1998
HETEC DATENSYSTEME GMBH,HET,02/03/2004
HEWLETT PACKARD,HWP,03/15/2001
HEWLETT PACKARD,HPD,05/02/1997
HEWLETT PACKARD ENTERPRISE,HPE,09/22/2015
HEWLETT-PACKARD CO.,HPC,08/10/2000
HEWLETT-PACKARD CO.,HPQ,07/12/2004
HEXIUM LTD.,HXM,04/15/2008
HIBINO CORPORATION,HIB,07/09/2003
HIGHWATER DESIGNS LTD,HWD,11/29/1996
"HIKOM CO., LTD.",HIK,10/13/2003
HILEVEL TECHNOLOGY,HIL,11/29/1996
HIRAKAWA HEWTECH CORP.,HHC,05/20/2008
"HISENSE ELECTRIC CO., LTD.",HEC,01/01/1994
HITACHI AMERICA LTD,HIT,11/29/1996
HITACHI COMPUTER PRODUCTS INC,HCP,11/29/1996
"HITACHI CONSUMER ELECTRONICS CO., LTD",HCE,05/15/2009
"HITACHI INFORMATION TECHNOLOGY CO., LTD.",HIC,04/19/2000
HITACHI LTD,HTC,11/29/1996
"HITACHI MAXELL, LTD.",MXL,01/13/2000
HITACHI MICRO SYSTEMS EUROPE LTD,HEL,07/09/1997
HITEX SYSTEMENTWICKLUNG GMBH,HTX,01/30/1998
HKC OVERSEAS LIMITED,HKC,03/30/2016
HMK DATEN-SYSTEM-TECHNIK BMBH,HMK,09/30/1997
HOB ELECTRONIC GMBH,HOB,11/29/1996
HOFFMANN + KRIPPNER GMBH,HUK,07/01/2016
HOLOEYE PHOTONICS AG,HOL,02/02/2005
HOLOGRAFIKA KFT.,HDV,03/31/2005
HOLTEK MICROELECTRONICS INC,HTK,11/29/1996
HOME ROW INC,INC,11/29/1996
"HON HAI PRECISON IND.CO.,LTD.",FOX,08/02/2010
"HONKO MFG. CO., LTD.",HKA,12/01/2004
"HOPE INDUSTRIAL SYSTEMS, INC.",HIS,01/13/2014
HORNER ELECTRIC INC,APG,11/29/1996
"HORSENT TECHNOLOGY CO., LTD.",HST,04/11/2015
HOSIDEN CORPORATION,HOE,08/05/1997
